75916 185878
0 1104 0.000006
0 1105 0.000006
0 1106 0.000012
0 1107 0.000003
0 1108 0.000003
0 1109 0.000006
0 1110 0.000003
0 1111 0.000003
0 1112 0.000003
0 1113 0.000003
0 1115 0.000003
0 1116 0.000006
0 1117 0.000006
0 1118 0.000006
0 1119 0.000006
0 1120 0.000003
0 1121 0.000003
0 1122 0.000003
0 1124 0.000003
0 1125 0.000006
0 1126 0.000006
0 1127 0.000006
0 1128 0.000003
0 1129 0.000003
0 1130 0.000003
0 1131 0.000006
0 1132 0.000006
0 1133 0.000006
0 1135 0.000006
0 1137 0.000006
0 1138 0.000006
0 1139 0.000006
0 1141 0.000003
0 1142 0.000003
0 1143 0.000006
0 1144 0.000003
0 1145 0.000006
0 1147 0.000006
0 1148 0.000003
0 1149 0.000003
0 1151 0.000003
0 1152 0.000006
0 1153 0.000006
0 1154 0.000006
0 1163 0.000006
0 1164 0.000006
0 1188 0.000003
0 1189 0.000003
0 1192 0.000003
0 1199 0.000003
0 1200 0.000003
0 1201 0.000003
0 1206 0.000003
0 1222 0.000147
0 1224 0.000006
0 1232 0.000129
0 1239 0.000006
0 1247 0.000111
0 1250 0.000009
0 1251 0.000108
0 1252 0.000006
0 1254 0.000003
0 1255 0.000153
0 1260 0.000012
0 1261 0.000006
0 1262 0.000009
0 1263 0.000012
0 1268 0.000003
0 1270 0.000012
0 1271 0.000117
0 1272 0.000018
0 1273 0.000012
0 1275 0.000006
0 1279 0.000006
0 1292 0.000129
0 1297 0.000111
0 1300 0.000117
0 1319 0.000045
0 1320 0.000063
0 1321 0.000006
0 1322 0.000003
0 1330 0.000006
0 1348 0.000021
0 1349 0.000123
0 1357 0.000018
0 1361 0.000006
0 1366 0.000006
0 1379 0.000117
0 1382 0.000006
0 1383 0.000006
0 1385 0.000048
0 1386 0.000003
0 1388 0.000114
0 1390 0.000132
0 1391 0.000132
0 1392 0.000225
0 1396 0.000135
0 1398 0.000006
0 1401 0.000012
0 1407 0.000003
0 1408 0.000123
0 1412 0.000129
0 1415 0.000228
0 1417 0.000045
0 1418 0.000024
0 1419 0.000006
0 1420 0.000003
0 1421 0.000012
0 1428 0.000132
0 1430 0.000006
0 1432 0.000129
0 1438 0.000123
0 1439 0.000021
0 1441 0.000003
0 1442 0.000129
0 1446 0.000006
0 1447 0.000117
0 1448 0.000006
0 1449 0.000147
0 1454 0.000015
0 1455 0.000111
0 1456 0.000006
0 1457 0.000009
0 1458 0.000081
0 1459 0.000006
0 1460 0.000012
0 1461 0.000072
0 1462 0.000144
0 1463 0.000048
0 1464 0.000051
0 1465 0.000042
0 1466 0.000114
0 1467 0.000012
0 1475 0.000045
0 1476 0.000063
0 1477 0.000021
0 1478 0.000003
0 1484 0.000042
0 1488 0.000006
0 1493 0.000006
0 1495 0.000033
0 1496 0.000012
0 1499 0.000051
0 1506 0.000006
0 1507 0.000006
0 1515 0.000024
0 1523 0.000018
0 1527 0.000003
0 1533 0.000006
0 1535 0.000132
0 1539 0.000006
0 1540 0.000135
0 1542 0.000117
0 1544 0.000108
0 1545 0.000150
0 1546 0.000141
0 1547 0.000153
0 1548 0.000159
0 1550 0.000138
0 1553 0.000006
0 1554 0.000123
0 1555 0.000135
0 1556 0.000054
0 1557 0.000123
0 1558 0.000392
0 1559 0.000291
0 1560 0.000129
0 1561 0.000135
0 1562 0.000895
0 1563 0.000165
0 1564 0.000276
0 1565 0.000042
0 1566 0.000126
0 1567 0.000240
0 1568 0.000129
0 1569 0.000156
0 1588 0.000006
0 1590 0.000045
0 1591 0.000012
0 1593 0.000063
0 1594 0.000006
0 1595 0.000003
0 1598 0.000018
0 1599 0.000012
0 1600 0.000123
0 1601 0.000024
0 1604 0.000135
0 1614 0.000123
0 1618 0.000126
0 1620 0.000006
0 1624 0.000012
0 1628 0.000123
0 1633 0.000135
0 1634 0.000012
0 1635 0.000123
0 1643 0.000006
0 1644 0.000006
0 1657 0.000006
0 1659 0.000006
0 1660 0.000057
0 1666 0.000036
0 1682 0.000006
0 1694 0.000006
0 1695 0.000006
0 1696 0.000006
0 1697 0.000156
0 1698 0.000012
0 1699 0.000117
0 1702 0.000141
0 1715 0.000003
0 1718 0.000003
0 1723 0.000117
0 1754 0.000006
0 1760 0.000003
0 1761 0.000006
0 1762 0.000003
0 1780 0.000006
0 1784 0.000006
0 1785 0.000006
0 1788 0.000018
0 1790 0.000003
0 1795 0.000057
0 1797 0.000006
0 1803 0.000006
0 1805 0.000018
0 1808 0.000078
0 1809 0.000317
0 1826 0.000006
0 1827 0.000006
0 1833 0.000015
0 1840 0.000021
0 1841 0.000018
0 1844 0.000006
0 1845 0.000012
0 1846 0.000006
0 1847 0.000012
0 1848 0.000006
0 1849 0.000006
0 1852 0.000006
0 1857 0.000012
0 1859 0.000003
0 1860 0.000006
0 1861 0.000018
0 1862 0.000006
0 1864 0.000006
0 1866 0.000003
0 1867 0.000039
0 1868 0.000003
0 1869 0.000006
0 1870 0.000003
0 1873 0.000003
0 1874 0.000006
0 1876 0.000072
0 1877 0.000153
0 1881 0.000156
0 1887 0.000003
0 1892 0.000006
0 1893 0.000153
0 1895 0.000015
0 1914 0.000006
0 1921 0.000012
0 1927 0.000018
0 1928 0.000018
0 1931 0.000006
0 1937 0.000006
0 1938 0.000006
0 1943 0.000012
0 1945 0.000006
0 1952 0.000159
0 1964 0.000003
0 1966 0.000147
0 1968 0.000012
0 1986 0.000006
0 1987 0.000030
0 1989 0.000006
0 1990 0.000006
0 1991 0.000021
0 2004 0.000012
0 2007 0.000135
0 2008 0.000024
0 2014 0.000006
0 2028 0.000006
0 2057 0.000009
0 2058 0.000006
0 2059 0.000024
0 2060 0.000006
0 2081 0.000018
0 2083 0.000255
0 2085 0.000117
0 2086 0.000006
0 2087 0.000054
0 2088 0.000117
0 2089 0.000123
0 2091 0.000018
0 2092 0.000075
0 2096 0.000003
0 2097 0.000162
0 2099 0.000159
0 2100 0.000039
0 2101 0.000015
0 2103 0.000006
0 2104 0.000129
0 2105 0.000006
0 2106 0.000003
0 2109 0.000018
0 2114 0.000054
0 2115 0.000051
0 2118 0.000147
0 2120 0.000072
0 2121 0.000063
0 2122 0.000006
0 2124 0.000003
0 2126 0.000123
0 2134 0.000117
0 2135 0.000123
0 2145 0.000006
0 2154 0.000012
0 2157 0.000123
0 2158 0.000006
0 2171 0.000015
0 2177 0.000018
0 2179 0.000006
0 2200 0.000063
0 2201 0.000063
0 2202 0.000006
