5446 32084
0 173 0.000006
0 174 0.000003
0 178 0.000006
0 179 0.000012
0 180 0.000003
0 181 0.000003
0 182 0.000006
0 183 0.000003
0 184 0.000003
0 186 0.000006
0 187 0.000003
0 188 0.000003
0 190 0.000003
0 191 0.000012
0 192 0.000006
0 193 0.000006
0 194 0.000003
0 195 0.000006
0 196 0.000003
0 198 0.000003
0 200 0.000006
0 201 0.000006
0 202 0.000006
0 203 0.000006
0 204 0.000003
0 205 0.000006
0 206 0.000006
0 207 0.000006
0 209 0.000006
0 211 0.000006
0 212 0.000006
0 213 0.000006
0 215 0.000006
0 216 0.000003
0 217 0.000006
0 218 0.000003
0 219 0.000006
0 221 0.000006
0 222 0.000003
0 223 0.000003
0 225 0.000006
0 226 0.000006
0 227 0.000006
0 228 0.000006
0 231 0.000012
0 242 0.000009
0 246 0.000009
0 248 0.000003
0 251 0.000675
0 252 0.000042
0 253 0.000003
0 254 0.000158
0 255 0.000250
0 256 0.000116
0 257 0.000122
0 258 0.000143
0 259 0.000152
0 260 0.000006
0 261 0.001361
0 262 0.000951
0 263 0.000591
0 264 0.000134
0 265 0.000042
0 267 0.000169
0 268 0.004619
0 269 0.000449
0 271 0.000776
0 272 0.000562
0 274 0.000006
0 275 0.000006
0 276 0.000012
0 277 0.000128
0 278 0.000392
0 279 0.000125
0 281 0.000672
0 282 0.000059
0 284 0.000187
0 286 0.000161
0 287 0.000080
0 289 0.000158
0 290 0.000056
0 291 0.000701
0 292 0.000583
0 293 0.000012
0 294 0.000773
0 295 0.000161
0 296 0.000024
0 297 0.000279
0 298 0.000110
0 299 0.000006
0 301 0.000006
0 302 0.000006
0 306 0.000003
0 307 0.000282
0 308 0.000006
0 314 0.004869
0 315 0.000012
0 316 0.000009
0 320 0.000012
0 321 0.000169
0 326 0.000190
0 328 0.000226
0 330 0.000398
0 331 0.000006
0 332 0.000375
0 333 0.000006
0 335 0.000166
0 336 0.000226
0 337 0.001207
0 339 0.000259
0 342 0.000113
0 344 0.000051
0 351 0.000110
0 353 0.000003
0 356 0.000006
0 357 0.000125
0 358 0.000024
0 360 0.000725
0 361 0.000006
0 362 0.000172
0 363 0.000250
0 364 0.000027
0 365 0.000006
0 367 0.000134
0 368 0.000045
0 369 0.000003
0 377 0.000487
0 378 0.000146
0 384 0.000006
