27579 93833
0 693 0.000006
0 696 0.000006
0 697 0.000012
0 698 0.000003
0 699 0.000003
0 700 0.000006
0 701 0.000003
0 702 0.000003
0 703 0.000006
0 704 0.000003
0 705 0.000003
0 707 0.000003
0 708 0.000012
0 709 0.000006
0 710 0.000006
0 711 0.000003
0 712 0.000006
0 713 0.000003
0 715 0.000003
0 717 0.000006
0 718 0.000006
0 719 0.000006
0 720 0.000003
0 721 0.000003
0 722 0.000003
0 723 0.000006
0 724 0.000006
0 725 0.000006
0 727 0.000006
0 729 0.000006
0 730 0.000006
0 731 0.000006
0 733 0.000006
0 734 0.000003
0 735 0.000006
0 736 0.000003
0 737 0.000006
0 739 0.000006
0 740 0.000003
0 741 0.000003
0 743 0.000006
0 744 0.000006
0 745 0.000006
0 746 0.000006
0 754 0.000012
0 774 0.000003
0 775 0.000003
0 777 0.000003
0 783 0.000009
0 787 0.000003
0 797 0.000146
0 798 0.000006
0 801 0.000128
0 803 0.000006
0 805 0.000110
0 806 0.000280
0 809 0.000018
0 810 0.000024
0 814 0.000003
0 816 0.000128
0 817 0.000018
0 818 0.000012
0 820 0.000006
0 823 0.000006
0 826 0.000128
0 828 0.000110
0 831 0.000116
0 837 0.000116
0 839 0.000006
0 845 0.000021
0 846 0.000122
0 847 0.000018
0 848 0.000012
0 850 0.000116
0 851 0.000006
0 852 0.000006
0 854 0.000054
0 855 0.000113
0 856 0.000131
0 857 0.000354
0 859 0.000152
0 861 0.000006
0 862 0.000476
0 863 0.000077
0 864 0.000143
0 865 0.000277
0 866 0.000262
0 867 0.000146
0 868 0.000125
0 869 0.000015
0 870 0.000080
0 871 0.000018
0 872 0.000262
0 873 0.000205
0 874 0.000012
0 879 0.000134
0 883 0.000042
0 885 0.000006
0 886 0.000006
0 887 0.000045
0 888 0.000051
0 891 0.000006
0 892 0.000006
0 894 0.000024
0 897 0.000021
0 900 0.000006
0 901 0.000387
0 902 0.000705
0 904 0.000143
0 905 0.000256
0 906 0.002006
0 907 0.000479
0 908 0.000649
0 916 0.000006
0 917 0.000128
0 918 0.000021
0 919 0.000292
0 924 0.000253
0 925 0.000402
0 926 0.000012
0 930 0.000068
0 931 0.000036
0 935 0.000006
0 937 0.000006
0 938 0.000295
0 939 0.000140
0 944 0.000006
0 947 0.000116
0 958 0.000006
0 962 0.000006
0 963 0.000012
0 969 0.000006
0 970 0.000006
0 971 0.000030
0 973 0.000057
0 974 0.000006
0 977 0.000024
0 979 0.000393
0 981 0.000018
0 982 0.000015
0 983 0.000086
0 985 0.000006
0 987 0.000048
0 988 0.000063
0 989 0.000387
0 990 0.000003
0 991 0.000006
0 993 0.000167
0 998 0.000006
0 1000 0.000012
0 1003 0.000036
0 1006 0.000006
0 1011 0.000012
0 1013 0.000018
0 1015 0.000158
0 1023 0.000003
0 1024 0.000146
0 1026 0.000012
0 1036 0.000042
0 1037 0.000006
0 1038 0.000021
0 1043 0.000012
0 1046 0.000158
0 1048 0.000006
0 1050 0.000006
0 1058 0.000045
0 1065 0.000018
0 1066 0.000253
0 1068 0.000122
0 1069 0.000310
0 1070 0.000074
0 1071 0.000381
0 1072 0.000128
0 1073 0.000012
0 1076 0.000018
0 1078 0.000104
0 1079 0.000146
0 1081 0.000143
0 1082 0.000125
0 1084 0.000238
0 1086 0.000006
0 1087 0.000140
0 1089 0.000015
0 1092 0.000018
0 1093 0.000006
0 1098 0.000280
0 1102 0.000092
0 1103 0.000018
0 1105 0.000006
0 1109 0.000006
0 1111 0.000006
0 1118 0.000003
0 1119 0.000057
0 1120 0.000063
0 1121 0.000018
0 1122 0.000146
0 1123 0.000006
0 1148 0.000816
0 1149 0.000759
0 1150 0.000726
0 1151 0.000506
0 1152 0.000723
0 1153 0.000958
0 1155 0.000387
0 1156 0.000012
0 1158 0.000006
0 1161 0.000003
0 1172 0.000012
0 1178 0.000149
0 1179 0.000021
0 1188 0.000137
0 1192 0.000006
0 1193 0.000006
0 1195 0.000006
0 1196 0.000006
0 1198 0.000018
0 1200 0.000012
0 1208 0.000006
0 1212 0.000202
0 1214 0.000006
0 1215 0.000006
0 1220 0.000006
0 1221 0.000262
0 1222 0.000131
0 1223 0.000006
0 1234 0.000015
0 1235 0.000003
0 1237 0.000125
0 1239 0.000039
0 1240 0.000045
0 1241 0.000146
0 1245 0.000006
0 1251 0.000012
0 1252 0.000137
0 1254 0.000018
0 1260 0.000208
0 1262 0.000012
0 1265 0.000006
0 1266 0.000283
0 1267 0.000542
0 1268 0.000330
0 1269 0.000048
0 1270 0.000006
0 1271 0.000006
0 1272 0.000110
0 1273 0.000143
0 1283 0.000113
0 1291 0.000051
0 1307 0.000110
0 1312 0.000003
0 1321 0.000006
0 1324 0.000045
0 1325 0.000071
0 1326 0.000006
0 1327 0.000003
0 1330 0.000003
0 1332 0.000003
0 1334 0.000015
0 1338 0.000024
0 1340 0.000164
0 1341 0.000539
0 1343 0.000006
0 1347 0.000006
0 1348 0.000030
0 1349 0.000006
0 1350 0.000125
0 1351 0.000003
0 1352 0.000179
0 1353 0.000063
0 1354 0.000006
0 1355 0.000003
0 1362 0.000024
0 1370 0.000003
0 1374 0.000006
0 1378 0.000051
0 1379 0.000003
0 1382 0.000065
0 1383 0.000006
0 1386 0.000003
0 1387 0.000003
0 1391 0.000006
0 1393 0.000021
0 1397 0.000006
0 1400 0.000006
0 1420 0.000116
0 1422 0.000006
0 1425 0.000366
0 1429 0.000146
0 1443 0.000006
0 1446 0.000012
0 1452 0.000006
0 1460 0.000012
0 1465 0.000012
0 1467 0.000122
0 1468 0.000113
0 1471 0.000131
0 1472 0.000006
0 1473 0.000006
0 1479 0.000018
0 1480 0.000018
0 1481 0.000024
0 1484 0.000080
0 1485 0.000324
0 1486 0.000006
0 1487 0.000024
0 1489 0.000199
0 1492 0.000012
0 1494 0.000012
0 1495 0.000012
0 1496 0.000012
0 1499 0.000015
0 1507 0.000006
0 1508 0.000107
0 1510 0.000012
0 1511 0.000125
0 1512 0.000143
0 1514 0.000018
0 1515 0.000140
0 1516 0.000015
0 1517 0.000006
0 1519 0.000018
0 1520 0.000006
0 1525 0.000012
0 1526 0.000027
0 1527 0.000036
0 1528 0.000024
0 1530 0.000006
0 1534 0.000003
0 1535 0.000006
0 1536 0.000012
0 1537 0.000006
0 1538 0.000167
0 1539 0.000006
0 1540 0.000128
0 1543 0.000125
0 1544 0.000006
0 1545 0.000003
0 1546 0.000006
0 1547 0.000012
0 1549 0.000018
0 1550 0.000122
0 1553 0.000012
0 1556 0.000009
0 1561 0.000182
0 1562 0.000747
0 1563 0.000152
0 1564 0.000321
0 1566 0.000342
0 1567 0.000012
0 1568 0.000018
0 1569 0.000006
0 1579 0.000003
0 1580 0.000012
0 1581 0.000003
0 1586 0.000006
0 1587 0.000003
0 1588 0.000006
0 1590 0.000113
0 1592 0.000006
0 1593 0.000122
0 1594 0.000012
0 1595 0.000152
0 1596 0.000030
0 1602 0.000012
0 1607 0.000324
0 1609 0.000048
0 1610 0.000009
0 1611 0.000012
0 1616 0.000006
0 1620 0.000155
0 1621 0.000223
0 1627 0.000030
0 1628 0.000012
0 1635 0.000006
0 1640 0.000006
0 1642 0.000128
0 1644 0.000110
0 1645 0.000122
0 1647 0.000036
0 1648 0.000277
0 1649 0.000119
0 1650 0.000107
0 1651 0.000006
0 1652 0.000006
0 1653 0.000021
0 1656 0.000208
0 1657 0.000143
0 1658 0.000006
0 1659 0.000134
0 1661 0.000042
0 1669 0.000137
0 1671 0.000527
0 1673 0.000286
0 1674 0.000003
0 1675 0.000018
0 1676 0.000223
0 1678 0.000006
0 1679 0.000012
0 1680 0.000030
0 1681 0.000021
0 1682 0.000158
0 1683 0.000006
0 1687 0.000128
0 1690 0.000018
0 1691 0.000003
